feature,gain_importance,feature_group,abs_pearson
X459,953.5040283203125,anonymous_x,0.011835690142853409
X677,944.9290161132812,anonymous_x,0.013958369391810796
X315,936.2559814453125,anonymous_x,0.00883240049516293
X197,926.4290161132812,anonymous_x,0.04961933787885375
X170,900.0079956054688,anonymous_x,0.009997571183417625
X376,879.5150146484375,anonymous_x,0.012423099819811597
X140,860.75,anonymous_x,0.013512567047662826
X131,857.4210205078125,anonymous_x,0.05110612140136442
X456,850.4949951171875,anonymous_x,0.0008984842236308204
X368,844.2030029296875,anonymous_x,0.03272560443140064
X76,839.3920288085938,anonymous_x,0.029783875550616963
X133,830.4719848632812,anonymous_x,0.03313784486534662
X713,826.64599609375,anonymous_x,0.026386036415924845
X226,792.791015625,anonymous_x,0.03807412737660148
X678,789.489013671875,anonymous_x,0.0027567810864003346
X655,782.114990234375,anonymous_x,0.01236545363182144
X462,773.239990234375,anonymous_x,0.006925217286508607
X233,762.989013671875,anonymous_x,0.016383350764322322
X653,747.9600219726562,anonymous_x,0.016101993314551973
X475,747.8759765625,anonymous_x,0.002743419078996312
X565,745.2620239257812,anonymous_x,0.0006920899788798564
X623,742.3709716796875,anonymous_x,0.026289178531902383
X479,735.8599853515625,anonymous_x,0.006929134749447769
X46,734.6339721679688,anonymous_x,0.053418950217455456
X128,732.6580200195312,anonymous_x,0.009997571183417625
X567,732.5430297851562,anonymous_x,0.009444521212424813
X471,720.8880004882812,anonymous_x,0.026844390581591764
X84,716.3569946289062,anonymous_x,0.014739061301603133
X627,713.3350219726562,anonymous_x,0.037025555573077025
X321,712.3870239257812,anonymous_x,0.011354748307917757
X557,706.5900268554688,anonymous_x,0.028639502588563955
X625,705.3480224609375,anonymous_x,0.03493436316910102
