feature,gain_importance,feature_group
X297,3619.6500244140625,anonymous_x
X25,3617.3430786132812,anonymous_x
X264,3613.6339111328125,anonymous_x
X765,3602.1520385742188,anonymous_x
X646,3600.6800537109375,anonymous_x
X335,3578.1279296875,anonymous_x
X418,3555.39599609375,anonymous_x
X86,3530.1829223632812,anonymous_x
X30,3507.833984375,anonymous_x
X760,3502.8270263671875,anonymous_x
X175,3411.1830444335938,anonymous_x
X27,3378.4109497070312,anonymous_x
X340,3319.208984375,anonymous_x
X168,3202.342041015625,anonymous_x
X734,3187.35400390625,anonymous_x
X654,3187.3009643554688,anonymous_x
X463,3184.5699462890625,anonymous_x
X577,3131.31689453125,anonymous_x
X191,3050.718994140625,anonymous_x
X294,3042.9080810546875,anonymous_x
X670,3015.1829833984375,anonymous_x
X754,3011.2149658203125,anonymous_x
X711,2965.2060546875,anonymous_x
X590,2930.949951171875,anonymous_x
X579,2903.1109924316406,anonymous_x
X574,2893.3099975585938,anonymous_x
X432,2892.89990234375,anonymous_x
X82,2884.4810180664062,anonymous_x
X416,2860.0269165039062,anonymous_x
X90,2857.531005859375,anonymous_x
X435,2848.6018676757812,anonymous_x
X169,2810.9609375,anonymous_x
X172,2761.7659912109375,anonymous_x
X671,2622.5660400390625,anonymous_x
X581,2593.5419921875,anonymous_x
X566,2584.0750732421875,anonymous_x
X602,2561.5250244140625,anonymous_x
X753,2510.9819946289062,anonymous_x
X124,2490.1659545898438,anonymous_x
X339,2489.8029174804688,anonymous_x
X735,2470.385986328125,anonymous_x
X182,2425.1100463867188,anonymous_x
X573,2390.5769653320312,anonymous_x
X642,2337.3799438476562,anonymous_x
X501,2320.125,anonymous_x
X327,2280.8190307617188,anonymous_x
X36,2267.260009765625,anonymous_x
X569,2246.5869750976562,anonymous_x
X560,2245.5139770507812,anonymous_x
X541,2236.5910034179688,anonymous_x
X458,2230.6300048828125,anonymous_x
X609,2217.6199951171875,anonymous_x
X293,2210.320068359375,anonymous_x
X217,2206.4730224609375,anonymous_x
X710,2166.3570556640625,anonymous_x
X92,2136.1909790039062,anonymous_x
X288,2078.218017578125,anonymous_x
X163,2044.1879272460938,anonymous_x
X727,2031.8489990234375,anonymous_x
X41,1971.3750305175781,anonymous_x
X407,1967.9169921875,anonymous_x
X38,1959.801025390625,anonymous_x
X125,1957.0979614257812,anonymous_x
X122,1943.0650024414062,anonymous_x
X559,1942.81201171875,anonymous_x
X205,1940.4829711914062,anonymous_x
X371,1926.072998046875,anonymous_x
X190,1924.0410766601562,anonymous_x
X55,1896.0699462890625,anonymous_x
X699,1894.239990234375,anonymous_x
X587,1869.2050170898438,anonymous_x
X299,1828.81298828125,anonymous_x
X676,1827.887939453125,anonymous_x
X334,1815.3560180664062,anonymous_x
X546,1791.153076171875,anonymous_x
X164,1604.97998046875,anonymous_x
X326,1594.8349609375,anonymous_x
X767,1570.5809936523438,anonymous_x
X79,1504.3399658203125,anonymous_x
X444,1469.0280151367188,anonymous_x
X161,1462.0339965820312,anonymous_x
X137,1453.8670043945312,anonymous_x
X606,1411.8699951171875,anonymous_x
X20,1404.7579956054688,anonymous_x
X774,1359.3800048828125,anonymous_x
X552,1329.75,anonymous_x
X547,1317.5,anonymous_x
X52,1316.1950073242188,anonymous_x
X452,1278.9100341796875,anonymous_x
X438,1263.4309997558594,anonymous_x
X51,1255.5010375976562,anonymous_x
X303,1253.3699951171875,anonymous_x
X44,1244.2099609375,anonymous_x
X80,1240.510009765625,anonymous_x
X412,1238.050048828125,anonymous_x
X709,1218.3599853515625,anonymous_x
X247,1212.72998046875,anonymous_x
X657,1173.56005859375,anonymous_x
X185,1132.0,anonymous_x
X563,1131.6629943847656,anonymous_x
