experiment,selection_metric,purged_cv_mean,forward_valid_pearson,full_holdout_pearson,kaggle_public,kaggle_private,submission,notes,window,preset,purged_cv_std,pre_window_pearson
step4_original_kaggle_lb,kaggle_lb,,,0.09628,0.0408,0.0291,outputs/submissions/submission_overnight_step4_temporal.csv,夜间 step4 基线,,,,
step4_kaggle_opt,purged_cv_on_recent_window,0.1041751418622224,0.2713236523273115,,0.0467,0.0188,outputs\submissions\submission_step4_kaggle_opt.csv,"extended temporal, 848 features",3mo,baseline,0.0877818452569879,0.02074578716242798
