num_leaves,min_data_in_leaf,lambda_l1,lambda_l2,feature_fraction,pearson_mean,pearson_std,fold_pearsons
31,500,0.0,50.0,0.7,0.09636306715924103,0.02362689501589979,"[0.10171172718374388, 0.0855062040265656, 0.13129845893365252, 0.06693587849300209]"
31,800,0.0,100.0,0.7,0.09507986395250836,0.023048708554110283,"[0.09393666966967651, 0.09705038319514184, 0.12721954071377314, 0.062112862231441975]"
31,500,1.0,50.0,0.6,0.09404563669987141,0.023628507449312018,"[0.10576532501989754, 0.07344028439893872, 0.1270525747254685, 0.06992436265518093]"
31,500,0.0,70.0,0.7,0.09387565706620371,0.024690014204684287,"[0.10502240826602424, 0.08284185223960852, 0.12692798872064762, 0.06071037903853452]"
31,600,0.0,50.0,0.7,0.09302606925751952,0.021051237702145696,"[0.10397745133960981, 0.07930039567335598, 0.12143582779537591, 0.06739060222173637]"
15,500,0.0,50.0,0.7,0.09221856776852624,0.01478893899818996,"[0.09565202510349388, 0.07581881455730428, 0.11467118529292054, 0.08273224612038627]"
31,500,0.0,50.0,0.8,0.09063172271589191,0.01722846645620654,"[0.09809594600663761, 0.08083789122555386, 0.11452242530126491, 0.06907062833011131]"
31,400,0.0,40.0,0.7,0.08837273614230572,0.020341832347873165,"[0.09313133837924134, 0.09230628289664768, 0.11212707766418051, 0.05592624562915332]"
