alpha,overall_pearson,overall_rmse,overall_mae,extreme_pearson,extreme_rmse,extreme_mae
0.1,0.10021366125889507,1.0397846994386362,0.6990959704270991,0.23852367976286232,3.3670771736295215,3.146928314487048
0.15000000000000002,0.09785442003609386,1.0404696683609316,0.6996185919174293,0.22273561898324679,3.367103766585141,3.145850477634037
0.05,0.10187147647755095,1.03934254383075,0.6987162169849299,0.2549665417578472,3.3673621332322523,3.1480061513400592
0.2,0.09514815990470722,1.0413969714733242,0.7002741999165715,0.20857086512237938,3.3674419047180453,3.1447726407810253
0.0,0.10235862829968688,1.0391435114885461,0.6984824662618114,0.26953557680155,3.3679585663128844,3.149083988193071
0.25,0.09233312083846895,1.0425659621485865,0.7010634403100624,0.19622232144347312,3.368091494195893,3.143694803928013
0.30000000000000004,0.08955559213680306,1.043975828498963,0.7020062345608755,0.18556856000680955,3.3690523548651963,3.142616967075001
0.35000000000000003,0.08689774944045227,1.0456255961727778,0.7031014758916834,0.1763904804121219,3.3703242205009154,3.14153913022199
0.4,0.08440041467960765,1.047514131682981,0.7043518702763963,0.16846061574629564,3.3719067391747144,3.1404612933689786
0.45,0.08207918619735984,1.0496401462414222,0.7057468277189648,0.16157493936228634,3.373799473740694,3.139383456515967
0.5,0.07993502722096603,1.0520022000690736,0.7072777930739752,0.15556076689838355,3.3760019024370367,3.1383056196629555
0.55,0.07796089859087092,1.054598707149274,0.708956997765251,0.1502755584960523,3.37851341960164,3.1372277828099433
0.6000000000000001,0.0761457782787467,1.057427940388356,0.7107821033061137,0.14560281974267641,3.381333336499468,3.1361499459569324
0.65,0.07447702774782661,1.0604880371457728,0.7127474889876962,0.14144755770436884,3.384460882258983,3.1350846961172922
0.7000000000000001,0.07294174006743917,1.0637770050940747,0.7148418998238633,0.13773217068990004,3.3878952049147357,3.1340908323576167
0.75,0.07152747260945323,1.0672927283678249,0.7170697947753736,0.13439300769977924,3.39163537255284,3.133319028230647
0.8,0.07022261394133344,1.07103297395974,0.7194281965683226,0.13137758783159123,3.3956803745557966,3.1327030846978623
0.8500000000000001,0.06901653736798838,1.0749953983220328,0.7219146798506297,0.12864238929557206,3.4000291229428505,3.1323493667189823
0.9,0.06789963328664758,1.0791775541310797,0.7245324504827313,0.12615110297530363,3.404680453801801,3.1323413790735626
0.9500000000000001,0.06686327556247888,1.0835768971740884,0.7272722447047102,0.12387325474730351,3.4096331288079837,3.1326917809552266
1.0,0.06589975463779797,1.0881907933174229,0.7301219381863611,0.12178311680242013,3.4148858368259067,3.133440065053581
1.05,0.06500219646090412,1.0930165255175566,0.7330836103782179,0.11985884429686341,3.4204371955888635,3.13458832099415
1.1,0.0641644781027576,1.0980513008372756,0.7361633549969426,0.11808178755158645,3.426285753451661,3.1363050046280128
1.1500000000000001,0.06338114600280362,1.1032922574316775,0.7393384069027061,0.11643594126642998,3.4324299912115035,3.1384340099154246
1.2000000000000002,0.06264733985784693,1.1087364714706702,0.7426213511391079,0.11490750103796571,3.4388683239919144,3.1411085650608097
1.25,0.06195872345357877,1.1143809639670224,0.745995413805404,0.11348450427908088,3.4455991031845383,3.1441645280593553
1.3,0.06131142275814001,1.1202227074815077,0.749455776606884,0.11215653785284432,3.452620618443562,3.1474782683864766
1.35,0.060701971058877355,1.126258632679289,0.7530027929520949,0.11091449871515678,3.4599310997274917,3.151104926611327
1.4000000000000001,0.06012726064909654,1.1324856347143373,0.7566287825224524,0.10975039690190153,3.4675287193829774,3.15507059425471
1.4500000000000002,0.0595845004524732,1.138900579421374,0.7603241786746853,0.10865719252377491,3.4754115942654025,3.159342691652658
1.5,0.059071178942798896,1.1455003092974874,0.7640948770719869,0.10762866021897663,3.4835777878909773,3.1639368565010977
