feature,coefficient,abs_coefficient,is_nonzero
X242,-0.17527981,0.17527981,True
X775,-0.17457494,0.17457494,True
X652,-0.17330967,0.17330967,True
X200,-0.17259459,0.17259459,True
X375,0.1719063,0.1719063,True
X20,-0.17149925,0.17149925,True
X165,0.17001323,0.17001323,True
X113,0.16822402,0.16822402,True
X577,-0.16706851,0.16706851,True
X487,0.16687128,0.16687128,True
X475,0.16650459,0.16650459,True
X292,-0.16637509,0.16637509,True
X460,0.16467577,0.16467577,True
X634,-0.1625862,0.1625862,True
X483,-0.16224648,0.16224648,True
X440,-0.16097517,0.16097517,True
X70,0.16063567,0.16063567,True
X288,-0.1601064,0.1601064,True
X355,-0.15963967,0.15963967,True
X597,-0.15951124,0.15951124,True
X276,-0.15646625,0.15646625,True
X73,-0.15602982,0.15602982,True
X63,0.15500136,0.15500136,True
X272,-0.15477484,0.15477484,True
X168,-0.1545596,0.1545596,True
X644,-0.15352772,0.15352772,True
X162,0.15327954,0.15327954,True
X506,0.15295357,0.15295357,True
X642,0.15290235,0.15290235,True
X698,-0.15208204,0.15208204,True
X178,0.15187992,0.15187992,True
X283,-0.15182222,0.15182222,True
X112,0.15115434,0.15115434,True
X417,0.15065472,0.15065472,True
X467,0.15040492,0.15040492,True
X394,0.1500546,0.1500546,True
X489,0.15004508,0.15004508,True
X38,-0.14988892,0.14988892,True
X432,0.14938304,0.14938304,True
X129,0.14779301,0.14779301,True
X120,-0.14734116,0.14734116,True
X366,0.1470356,0.1470356,True
X536,0.14670174,0.14670174,True
X111,-0.1446013,0.1446013,True
X281,-0.14377505,0.14377505,True
X484,0.1433994,0.1433994,True
X672,-0.14078136,0.14078136,True
X409,0.14047225,0.14047225,True
X164,0.14011149,0.14011149,True
X29,-0.13908641,0.13908641,True
X443,0.13898687,0.13898687,True
X602,-0.13842188,0.13842188,True
X598,0.13624743,0.13624743,True
X575,-0.13614893,0.13614893,True
X337,0.13609622,0.13609622,True
X539,-0.1357156,0.1357156,True
X678,0.13552734,0.13552734,True
X260,-0.13525483,0.13525483,True
X267,0.13517483,0.13517483,True
X212,0.13509926,0.13509926,True
X280,0.13295583,0.13295583,True
X774,-0.13279745,0.13279745,True
X68,0.1326149,0.1326149,True
X743,-0.1325624,0.1325624,True
X282,0.13147463,0.13147463,True
X707,-0.1303578,0.1303578,True
X769,0.13032241,0.13032241,True
X720,0.12949738,0.12949738,True
X118,-0.12803926,0.12803926,True
X327,-0.12800801,0.12800801,True
X463,-0.12782526,0.12782526,True
X71,0.1278042,0.1278042,True
X428,-0.12761672,0.12761672,True
X82,-0.12755136,0.12755136,True
X413,0.12605043,0.12605043,True
X364,0.1254861,0.1254861,True
X548,-0.12452239,0.12452239,True
X44,-0.12439083,0.12439083,True
X559,-0.12337071,0.12337071,True
X685,0.123354964,0.123354964,True
X232,-0.1233208,0.1233208,True
X583,0.12327277,0.12327277,True
X581,-0.123211615,0.123211615,True
X218,-0.12299992,0.12299992,True
X591,0.12261673,0.12261673,True
X576,0.12203826,0.12203826,True
X498,0.12180988,0.12180988,True
X527,-0.121440835,0.121440835,True
X171,0.121429354,0.121429354,True
X393,0.121061996,0.121061996,True
X249,0.12090941,0.12090941,True
X779,-0.12066972,0.12066972,True
X291,0.11912978,0.11912978,True
X278,0.1171096,0.1171096,True
X289,0.117029816,0.117029816,True
X279,0.116397895,0.116397895,True
X600,-0.11603584,0.11603584,True
X10,-0.11524386,0.11524386,True
X104,-0.11505848,0.11505848,True
X625,0.11486247,0.11486247,True
X694,0.11459922,0.11459922,True
X397,-0.11363275,0.11363275,True
X664,0.113334015,0.113334015,True
X695,-0.11305306,0.11305306,True
X205,0.11221802,0.11221802,True
X638,-0.11203618,0.11203618,True
X620,-0.11187254,0.11187254,True
X319,0.11096385,0.11096385,True
X158,-0.11049228,0.11049228,True
X290,-0.1104092,0.1104092,True
X554,-0.11020393,0.11020393,True
X341,-0.11010384,0.11010384,True
X403,-0.11003851,0.11003851,True
X476,0.10962145,0.10962145,True
X15,0.10897524,0.10897524,True
X125,-0.108885705,0.108885705,True
X596,0.1082773,0.1082773,True
X154,-0.108175404,0.108175404,True
X589,-0.10811974,0.10811974,True
X378,-0.10767368,0.10767368,True
X533,0.10711606,0.10711606,True
X257,0.10632481,0.10632481,True
X271,0.10591611,0.10591611,True
X277,-0.10587016,0.10587016,True
X490,-0.10550365,0.10550365,True
X622,-0.104551114,0.104551114,True
X462,-0.104334645,0.104334645,True
X353,-0.10392441,0.10392441,True
X224,-0.10376338,0.10376338,True
X656,-0.103578515,0.103578515,True
X543,-0.103401914,0.103401914,True
X431,-0.10331561,0.10331561,True
X80,0.10206928,0.10206928,True
X214,-0.10206101,0.10206101,True
X173,0.10156518,0.10156518,True
X203,0.10156007,0.10156007,True
X762,0.101213284,0.101213284,True
X400,-0.100656785,0.100656785,True
X627,0.100346334,0.100346334,True
X474,-0.100258276,0.100258276,True
X377,-0.099885166,0.099885166,True
X492,-0.09978601,0.09978601,True
X480,-0.09897519,0.09897519,True
X763,0.09840883,0.09840883,True
X608,0.09839193,0.09839193,True
X692,0.098219834,0.098219834,True
X658,0.09802264,0.09802264,True
X410,0.09789414,0.09789414,True
X668,0.09753478,0.09753478,True
X478,0.09751789,0.09751789,True
X261,-0.09631919,0.09631919,True
X748,-0.09545182,0.09545182,True
X34,0.095437795,0.095437795,True
X390,-0.09486543,0.09486543,True
X26,-0.094584204,0.094584204,True
X753,-0.09191531,0.09191531,True
X66,0.09167628,0.09167628,True
X220,0.09165462,0.09165462,True
X16,0.09093496,0.09093496,True
X170,0.09078586,0.09078586,True
X39,0.09046313,0.09046313,True
X486,0.090194665,0.090194665,True
X686,0.09019095,0.09019095,True
X28,0.08998771,0.08998771,True
X99,0.0899863,0.0899863,True
X420,0.08923062,0.08923062,True
X180,0.089022554,0.089022554,True
X192,0.0887053,0.0887053,True
X470,-0.08768742,0.08768742,True
X85,-0.08676526,0.08676526,True
X541,0.086683184,0.086683184,True
X140,0.086105846,0.086105846,True
