model,model_label,slice,sample_count,y_true_mean,y_pred_mean,mean_residual_y_minus_pred,mean_abs_error,rmse
ridge,Ridge,异常波动整体,5259,0.7127763189093471,-0.21287531518436092,0.925651634093708,2.9576800547103033,3.284292336051657
ridge,Ridge,正向异常,3225,3.162650863884031,0.014670963603803428,3.147979900280228,3.1499343588490154,3.376310839284284
ridge,Ridge,负向异常,2034,-3.171611787060838,-0.5736603442363913,-2.597951442824447,2.6528520651098377,3.132857670114562
lightgbm,LightGBM,异常波动整体,5259,0.7127763189093471,-0.06504570333399909,0.7778220222433462,3.149083988193071,3.3679585663128844
lightgbm,LightGBM,正向异常,3225,3.162650863884031,-0.03914738555552203,3.201798249439553,3.201798249439553,3.358716259775107
lightgbm,LightGBM,负向异常,2034,-3.171611787060838,-0.1061086703131478,-3.0655031167476903,3.0655031167476903,3.382560903704737
weighted_lightgbm,Weighted LightGBM,异常波动整体,5259,0.7127763189093471,-0.17380256995549764,0.8865788888648447,3.123330846553676,3.3565166983685857
weighted_lightgbm,Weighted LightGBM,正向异常,3225,3.162650863884031,-0.10682437620372089,3.2694752400877523,3.2694752400877523,3.432085158897401
weighted_lightgbm,Weighted LightGBM,负向异常,2034,-3.171611787060838,-0.2799995585737278,-2.8916122284871104,2.8916122284871104,3.23308099880986
continuous_weighted_lightgbm,连续权重 Weighted LightGBM,异常波动整体,5259,0.7127763189093471,-0.09994182853002027,0.8127181474393674,3.1306346076763094,3.3551734635732475
continuous_weighted_lightgbm,连续权重 Weighted LightGBM,正向异常,3225,3.162650863884031,-0.05255721970563472,3.2152080835896664,3.2152080835896664,3.37056744303253
continuous_weighted_lightgbm,连续权重 Weighted LightGBM,负向异常,2034,-3.171611787060838,-0.17507229237399446,-2.9965394946868433,2.9965394946868433,3.330619768112412
catboost,CatBoost baseline,异常波动整体,5259,0.7127763189093471,0.0194754296518305,0.6933008892575167,3.156193737148057,3.379480372627994
catboost,CatBoost baseline,正向异常,3225,3.162650863884031,0.023969896400788716,3.1386809674832428,3.1386809674832428,3.2992375188599983
catboost,CatBoost baseline,负向异常,2034,-3.171611787060838,0.012349247122140116,-3.183961034182978,3.183961034182978,3.5029433730236264
xgboost,XGBoost baseline,异常波动整体,5259,0.7127763189093471,-0.019425779272131592,0.7322020981814787,3.152817770702402,3.3742437071283082
xgboost,XGBoost baseline,正向异常,3225,3.162650863884031,-0.0049955687454771676,3.1676464326295086,3.1676464326295086,3.326018939598786
xgboost,XGBoost baseline,负向异常,2034,-3.171611787060838,-0.042305537850529096,-3.129306249210309,3.129306249210309,3.4493245603699445
tree_blend,Tree Blend,异常波动整体,5259,0.7127763189093471,-0.06504570333399909,0.7778220222433462,3.149083988193071,3.3679585663128844
tree_blend,Tree Blend,正向异常,3225,3.162650863884031,-0.03914738555552203,3.201798249439553,3.201798249439553,3.358716259775107
tree_blend,Tree Blend,负向异常,2034,-3.171611787060838,-0.1061086703131478,-3.0655031167476903,3.0655031167476903,3.382560903704737
two_stage_expert,Two-stage LightGBM Expert,异常波动整体,5259,0.7127763189093471,-0.07606105281923273,0.7888373717285797,3.145742886405095,3.366955483578411
two_stage_expert,Two-stage LightGBM Expert,正向异常,3225,3.162650863884031,-0.045404574491937195,3.2080554383759687,3.2080554383759687,3.367404376188603
two_stage_expert,Two-stage LightGBM Expert,负向异常,2034,-3.171611787060838,-0.12466830090454645,-3.0469434861562914,3.0469434861562914,3.3662436211215523
two_stage_constant_calibration,Two-stage Constant Calibration,异常波动整体,5259,0.7127763189093471,-0.0726633808968584,0.7854396998062055,3.146928314487048,3.3670771736295215
two_stage_constant_calibration,Two-stage Constant Calibration,正向异常,3225,3.162650863884031,-0.043600824049026085,3.2062516879330576,3.2062516879330576,3.364511056191458
two_stage_constant_calibration,Two-stage Constant Calibration,负向异常,2034,-3.171611787060838,-0.1187433935980675,-3.0528683934627705,3.0528683934627705,3.3711418663169477
two_stage_ridge_expert,Two-stage Ridge Expert,异常波动整体,5259,0.7127763189093471,-0.08538858002566645,0.7981648989350134,3.14192864219743,3.364696389834353
two_stage_ridge_expert,Two-stage Ridge Expert,正向异常,3225,3.162650863884031,-0.049899823374188725,3.2125506872582203,3.2125506872582203,3.3729363871649025
two_stage_ridge_expert,Two-stage Ridge Expert,负向异常,2034,-3.171611787060838,-0.14165762633885018,-3.0299541607219873,3.0299541607219873,3.351589973083806
