name,left,right,op,target_corr
syn_mul_X602_X759,X602,X759,mul,-0.009304733367845599
syn_add_X766_X604,X766,X604,add,0.00924704852962208
syn_sub_X614_X367,X614,X367,sub,0.00915887535305729
syn_mul_X777_X547,X777,X547,mul,-0.00911977891496958
syn_sub_X777_X602,X777,X602,sub,-0.00903589552975153
syn_add_X777_X602,X777,X602,add,0.009027929113832035
syn_mul_X602_X604,X602,X604,mul,0.008997560815392842
syn_sub_X766_X614,X766,X614,sub,-0.008946202365375619
syn_add_X772_X604,X772,X604,add,-0.008498581986380864
syn_mul_X547_X604,X547,X604,mul,0.008079906124713324
syn_add_X772_X547,X772,X547,add,-0.00798436963480234
syn_sub_X777_X604,X777,X604,sub,0.007786480658823997
syn_mul_X772_X602,X772,X602,mul,0.007490793132462237
syn_div_X766_X752,X766,X752,div,0.007410983529062298
syn_add_X777_X604,X777,X604,add,-0.007327643761154233
syn_add_X772_X602,X772,X602,add,0.007203365473982511
syn_mul_X752_X367,X752,X367,mul,0.007158547643241143
syn_sub_X777_X547,X777,X547,sub,0.007055939717727371
syn_mul_X772_X777,X772,X777,mul,0.007051519480438338
syn_mul_X752_X604,X752,X604,mul,-0.006988496777419914
syn_mul_X772_X766,X772,X766,mul,-0.006963068719660983
syn_add_X777_X547,X777,X547,add,-0.006878378312772195
syn_mul_X772_X759,X772,X759,mul,0.006776401631940252
syn_sub_X772_X604,X772,X604,sub,0.006144233935533355
syn_div_X752_X604,X752,X604,div,0.005910298821908421
syn_mul_X766_X547,X766,X547,mul,0.005581256375887107
syn_sub_X772_X547,X772,X547,sub,0.005484531115139289
syn_div_X766_X614,X766,X614,div,0.005403166573008356
syn_mul_X759_X367,X759,X367,mul,0.00531592882104382
syn_div_X759_X604,X759,X604,div,0.004694919886824542
syn_div_X772_X752,X772,X752,div,-0.004627225603228724
syn_div_X614_X602,X614,X602,div,0.004262230961645004
syn_div_X602_X752,X602,X752,div,0.004129100907032162
syn_div_X614_X604,X614,X604,div,0.0037387048012705363
syn_mul_X614_X759,X614,X759,mul,-0.003507418193290975
syn_div_X759_X367,X759,X367,div,0.003135481718462285
syn_div_X614_X752,X614,X752,div,0.0030432664373012163
syn_div_X547_X604,X547,X604,div,0.002609777960397693
syn_mul_X367_X604,X367,X604,mul,0.0024179262733506953
syn_div_X766_X604,X766,X604,div,0.002340148800455584
syn_mul_X777_X766,X777,X766,mul,-0.0022936259865806324
syn_div_X547_X752,X547,X752,div,-0.0022747250677280268
syn_div_X772_X766,X772,X766,div,-0.002250993633467576
syn_div_X602_X604,X602,X604,div,-0.0022509032057013044
syn_mul_X772_X604,X772,X604,mul,-0.002169295824538194
syn_mul_X759_X604,X759,X604,mul,-0.0020752544329399776
syn_div_X772_X777,X772,X777,div,-0.0018692346209790598
syn_div_X777_X752,X777,X752,div,0.0018648941874165827
syn_div_X766_X759,X766,X759,div,0.001756932340504394
syn_div_X766_X547,X766,X547,div,-0.0016218502579086384
syn_sub_X772_X777,X772,X777,sub,-0.00162147455261067
syn_div_X752_X759,X752,X759,div,0.0015669896637102202
syn_div_X772_X602,X772,X602,div,-0.001528777363571404
syn_div_X602_X367,X602,X367,div,0.0014794687076364445
syn_div_X777_X766,X777,X766,div,-0.0013977360068436653
syn_div_X766_X367,X766,X367,div,-0.0013939492012495181
syn_div_X602_X759,X602,X759,div,0.001360074428151974
syn_div_X777_X367,X777,X367,div,0.001322236312431633
syn_sub_X766_X367,X766,X367,sub,-0.0012961978311030226
syn_div_X614_X367,X614,X367,div,-0.0011790059310535848
syn_add_X772_X777,X772,X777,add,-0.0011524738727372416
syn_div_X547_X367,X547,X367,div,-0.0010633965452729753
syn_add_X602_X547,X602,X547,add,0.0010287341834102136
syn_div_X614_X759,X614,X759,div,0.0009642293223302563
syn_div_X602_X547,X602,X547,div,0.0009005623219372244
syn_div_X766_X602,X766,X602,div,0.0008334741069690274
syn_sub_X547_X604,X547,X604,sub,0.0008254365194384852
syn_div_X614_X547,X614,X547,div,0.0008029277192616837
syn_div_X777_X614,X777,X614,div,-0.0008027473317819269
syn_div_X772_X604,X772,X604,div,-0.0006215869654031656
syn_div_X777_X602,X777,X602,div,-0.0006170865144717032
syn_div_X772_X614,X772,X614,div,0.0005539266685243712
syn_mul_X772_X547,X772,X547,mul,-0.0005316233910927305
syn_div_X772_X759,X772,X759,div,0.00047262243750278987
syn_div_X777_X604,X777,X604,div,-0.00044519572943625126
syn_div_X547_X759,X547,X759,div,-0.00041372082334397944
syn_div_X772_X367,X772,X367,div,-0.0004098955830052146
syn_div_X777_X547,X777,X547,div,0.0002842279867881207
syn_div_X752_X367,X752,X367,div,-0.00025039602727673047
syn_mul_X547_X759,X547,X759,mul,0.00022846289180915224
syn_div_X772_X547,X772,X547,div,-0.00020049019202794487
syn_mul_X614_X367,X614,X367,mul,0.00019182467071138755
syn_div_X777_X759,X777,X759,div,-0.00016997494564646688
syn_mul_X547_X752,X547,X752,mul,0.00014436316715416936
syn_div_X367_X604,X367,X604,div,9.002010499284311e-05
syn_add_X602_X604,X602,X604,add,4.952189093624027e-05
