alpha,overall_pearson,overall_rmse,overall_mae,extreme_pearson,extreme_rmse,extreme_mae
0.25,0.09575857378125292,1.0417921838852437,0.7009304127548067,0.21543258458644235,3.364696389834353,3.14192864219743
0.2,0.09798630709062342,1.0408608538531623,0.7002055370811289,0.22566528451554457,3.36481925548267,3.1433597113965583
0.30000000000000004,0.09346997943328837,1.042923409791677,0.7017683874245727,0.20635202979914632,3.3648384607844104,3.140497572998301
0.15000000000000002,0.10001077002772049,1.0401299566545252,0.6995919432717189,0.23697987118065025,3.365207028710397,3.1447907805956863
0.35000000000000003,0.0912104957158329,1.0442538819392884,0.7027195530907516,0.19835360044830624,3.365245434778267,3.139066503799173
0.1,0.10162042150638895,1.0395999150360762,0.6990900195215853,0.24897726539754517,3.3658596179592903,3.146221849794815
0.4,0.08903330695554908,1.0457828398695925,0.7037957129312564,0.19131840312553197,3.36591721572742,3.1376354346000452
0.05,0.10252380895867812,1.0392710363146616,0.6987186227675056,0.26058196578490445,3.36677686923986,3.147652918993943
0.45,0.08696709252782545,1.0475094144459076,0.7049888347042496,0.18511965094037902,3.3668536451228133,3.136204365400917
0.0,0.10235862829968688,1.0391435114885461,0.6984824662618114,0.26953557680155,3.3679585663128844,3.149083988193071
0.5,0.08502483366958152,1.0494326302848451,0.7062985570917104,0.1796393653125495,3.3680545022216637,3.134773296201788
0.55,0.08320980428654853,1.0515514084565671,0.7077237107292217,0.17477393694610893,3.369519504307217,3.13334222700266
0.6000000000000001,0.08151951119463952,1.0538645694367346,0.7092665085339711,0.17043483255078257,3.371248307020736,3.131997186354239
0.65,0.07994822409205253,1.0563708362917916,0.7109147030960776,0.16654736939809953,3.3732405047648015,3.1307040694393344
0.7000000000000001,0.07848856753907085,1.059068838078161,0.7126705989217893,0.16304887712209248,3.3754956311768356,3.1295148452643384
0.75,0.07713250200728243,1.0619571134350458,0.7145515822420276,0.15988681517827033,3.3780131596715552,3.1285182777788467
0.8,0.07587191269791008,1.0650341143498765,0.716529838464747,0.15701706787780645,3.3807925040509064,3.1275865781143706
0.8500000000000001,0.07469894940620056,1.0682982100749858,0.7186135449705883,0.15440248303080065,3.38383301917983,3.1268646477380724
0.9,0.07360621013764772,1.0717476911738473,0.720810229376986,0.1520116535550718,3.38713400172607,3.1264244667489893
0.9500000000000001,0.07258682797913481,1.0753807736751613,0.7231094230478544,0.14981791594516458,3.3906946909620643,3.126320709225634
1.0,0.07163449918794619,1.0791956033132113,0.725514254221484,0.14779853256622724,3.3945142696268182,3.1263889841321726
1.05,0.07074347658170961,1.0831902598332417,0.728021235832686,0.14593402567184563,3.398591864845519,3.126617170826306
1.1,0.06990854340314062,1.087362761341084,0.7306296255373972,0.1442076348981689,3.4029265491045333,3.127254525945094
1.1500000000000001,0.06912497712910755,1.091711068676905,0.7333287758890458,0.14260487453721787,3.4075173412792967,3.1283030237502567
1.2000000000000002,0.06838850904937863,1.0962330897937238,0.7361029474315796,0.141113171207383,3.4123632077125166,3.1295865234066014
1.25,0.0676952831191243,1.1009266841222356,0.7389603154297439,0.13972156628536417,3.4174630633400085,3.1311765097498663
1.3,0.06704181611730331,1.1057896669044838,0.7418921589257457,0.13842047057621465,3.4228157728614006,3.1330947134076523
1.35,0.06642496021638371,1.1108198134799985,0.7448966046675637,0.13720146122282612,3.428420151952878,3.1353205842752443
1.4000000000000001,0.06584186849207865,1.1160148635091787,0.7479700391469319,0.13605711287703504,3.4342749685190745,3.137747466356221
1.4500000000000002,0.06528996354921855,1.1213725251198838,0.7511135893145059,0.1349808567605421,3.4403789439811825,3.140347030699393
1.5,0.06476690923050336,1.1268904789644554,0.7543262393021039,0.1339668625159112,3.446730754598299,3.143248885321702
