w_lgbm,w_catboost,w_xgboost,weight_sum,overall_pearson,overall_rmse,overall_mae,extreme_pearson,extreme_rmse,extreme_mae
1.0,0.0,0.0,1.0,0.10235862829968688,1.0391435114885461,0.6984824662618114,0.26953557680155,3.3679585663128844,3.149083988193071
0.95,0.0,0.05,1.0,0.10260963985662402,1.0389696331159075,0.6983147233353976,0.27052635934971003,3.36820133604556,3.149270677318538
0.95,0.05,0.0,1.0,0.10265500325753686,1.0388484229861503,0.6981888804918254,0.27059535345270314,3.3683471986556515,3.1494394756408206
0.9,0.0,0.1,1.0,0.10285341975731126,1.0388072817637684,0.6981577890603573,0.2715342984031887,3.3684516421086994,3.149457366444004
0.9,0.05,0.05,1.0,0.10292305457703908,1.0386919552029605,0.69803716498003,0.2716601870230391,3.368601344608723,3.149626164766287
0.85,0.0,0.15,1.0,0.10308758364724777,1.0386564628374593,0.698010705064317,0.27255685070751823,3.3687094828223816,3.149644055569471
0.9,0.1,0.0,1.0,0.10297238268598369,1.0385857016307103,0.6979259407469058,0.27173252570653067,3.3687556153144604,3.1497949630885698
0.85,0.05,0.1,1.0,0.10318310428057673,1.03854702286707,0.6978958788848645,0.27274489101669747,3.3688630242939475,3.149812853891753
0.8,0.0,0.2,1.0,0.10330931611849153,1.0385171813613794,0.6978742075148409,0.2735906718413932,3.3689748564566386,3.1498307446949374
0.85,0.1,0.05,1.0,0.10325917802902786,1.0384466583742142,0.6977895951883819,0.2728797765221375,3.3690211332656546,3.1499816522140365
0.8,0.05,0.15,1.0,0.10343236045450635,1.0384136308085175,0.6977643503250315,0.2738465407437338,3.3691322359558953,3.14999954301722
0.85,0.15,0.0,1.0,0.10331254706161629,1.0383553719905223,0.6976910691097699,0.272954323009937,3.3691838090944732,3.1501504505363194
0.75,0.0,0.25,1.0,0.10351529827411339,1.0383894419781599,0.6977473833812808,0.2746314279604274,3.369247761231513,3.150017433820404
0.8,0.1,0.1,1.0,0.10353702657327375,1.038319158055729,0.6976623355338534,0.27405002031086617,3.3692941822309646,3.1501683413395027
0.75,0.05,0.2,1.0,0.10366750052754542,1.0382917834751317,0.6976418564999642,0.27496122835563847,3.36940897778918,3.150186232142686
0.8,0.15,0.05,1.0,0.1036199567870178,1.038233765581082,0.697568137956569,0.2741934806028973,3.3694606946233687,3.1503371396617856
0.7,0.0,0.3,1.0,0.10370162402484508,1.0382732489478925,0.6976298128137493,0.2756735645730061,3.3695281953171192,3.1502041229458704
0.75,0.1,0.15,1.0,0.10380262725651347,1.0382032049279715,0.6975431234065771,0.27523984896768616,3.3695747603795945,3.15035503046497
0.8,0.2,0.0,1.0,0.10367729948543507,1.038157455625241,0.697482007408881,0.2742684002988742,3.3696317724561946,3.150505937984068
0.7,0.05,0.25,1.0,0.10388457777364785,1.0381814849317916,0.6975271107888141,0.27608381892389094,3.369693247938516,3.1503729212681533
0.75,0.15,0.1,1.0,0.10391723650722935,1.0381237086609374,0.6974535922320482,0.27545920144771957,3.3697451083288468,3.1505238287872523
0.65,0.0,0.35,1.0,0.10386370384394522,1.0381686061474211,0.697519991958732,0.27671002271421097,3.369816156833703,3.1503908120713366
0.7,0.1,0.2,1.0,0.10405201823920564,1.0380988028603217,0.6974339912534607,0.2764446319183404,3.3698628658308816,3.1505417195904366
0.75,0.2,0.05,1.0,0.10400734642627192,1.038053296760649,0.6973723819318735,0.2756101909184264,3.3699200209446056,3.150692627109535
0.65,0.05,0.3,1.0,0.10407891267433726,1.038082738859749,0.6974221858220462,0.2772076479001976,3.369985044498784,3.150559610393619
0.7,0.15,0.15,1.0,0.10420044012287685,1.038025204903702,0.6973497789483643,0.27674744997524664,3.37003704830489,3.1507105179127186
0.75,0.25,0.0,1.0,0.10406835655470484,1.037991971075813,0.6972996999719273,0.2756826090753966,3.370099497516135,3.150861425431818
0.6,0.0,0.4,1.0,0.10399615481075247,1.0380755170696945,0.697420617436334,0.277731890939075,3.3701116438517045,3.1505775011968034
0.65,0.1,0.25,1.0,0.10428045465758226,1.038005955338178,0.697334643552856,0.2776581953791529,3.370158496654362,3.150728408715903
0.7,0.2,0.1,0.9999999999999999,0.10432575005147593,1.0379606929942953,0.697273450836527,0.2769825828140731,3.3702157946528075,3.150879316235002
0.6,0.05,0.35,1.0,0.1042449674218029,1.0379955485560162,0.697328031514219,0.27832414617853035,3.370284365515092,3.1507462995190862
0.65,0.15,0.2,1.0,0.10446478825089273,1.0379382575986755,0.6972558397507966,0.27805264767555876,3.3703365125957108,3.1508972070381853
