alpha,overall_pearson,overall_rmse,overall_mae,extreme_pearson,extreme_rmse,extreme_mae
0.15000000000000002,0.09794744177865623,1.040433583551036,0.6996017441026462,0.2229363653380072,3.366955483578411,3.145742886405095
0.1,0.10027780624443008,1.0397617010306943,0.6990860413631724,0.23866349852402619,3.366978703382489,3.146856587001087
0.2,0.09526597377939995,1.041346756550397,0.7002503696520972,0.20882324420751192,3.367243442214162,3.1446291858091038
0.05,0.10190377094357843,1.0393315769407798,0.6987110907818538,0.2550377604706397,3.3673130951890653,3.147970287597079
0.25,0.09247151023029154,1.0425005859575263,0.7010311673281047,0.19651753151567553,3.367842499470227,3.1435154852131113
0.0,0.10235862829968688,1.0391435114885461,0.6984824662618114,0.26953557680155,3.3679585663128844,3.149083988193071
0.30000000000000004,0.08971071942957677,1.0438942737711097,0.7019675892338322,0.18589907876887685,3.3687524893808236,3.1424017846171193
0.35000000000000003,0.08706634624451808,1.04552686079747,0.7030569101704233,0.1767501633127054,3.3699731600636174,3.1412880840211272
0.4,0.08457979785153612,1.0473972299144605,0.7043001180778,0.16884453465008378,3.3715041740678404,3.1401743834251348
0.45,0.08226719692178014,1.049504109835941,0.705687167477737,0.1619791604931019,3.3733451088396844,3.139060682829143
0.5,0.08012994619040241,1.0518460793477105,0.7072091878722374,0.15598214317177872,3.375495457303477,3.1379469822331507
0.55,0.07816136216618591,1.05442157198264,0.7088760089958844,0.15071155748534634,3.3779546285567905,3.1368332816371596
0.6000000000000001,0.0763507052947072,1.0572288811000703,0.7106896552912856,0.14605138813827123,3.380721948677252,3.1357195810411675
0.65,0.07468555930069967,1.0602661653322925,0.7126400741785135,0.14190701678158377,3.383796661638525,3.1346089131494277
0.7000000000000001,0.07315319150490186,1.0635314543591812,0.7147222779271151,0.1382011362931777,3.387177930332563,3.1336449851149273
0.75,0.07174129587815017,1.0670226549707549,0.7169283797417108,0.1348703290076906,3.390864837694947,3.132894471522008
0.8,0.07043836829703673,1.070737557376641,0.7192718283458972,0.13186230031996843,3.394856387929836,3.132314395214565
0.8500000000000001,0.06923386666058079,1.0746738417210708,0.7217446998694412,0.12913367839368498,3.399151507830754,3.1320321810120744
0.9,0.06811824834190151,1.0788290847621453,0.7243464868379255,0.12664827578634227,3.4037490481932138,3.1320744697634115
0.9500000000000001,0.0670829404877453,1.0832007666746288,0.7270648084904048,0.12437571787677268,3.408647785314928,3.1324178519899544
1.0,0.06612027614121524,1.0877862779364575,0.7298924673866032,0.12229035884015117,3.413846422579165,3.1331453816693733
1.05,0.06522341548576625,1.0925829262604163,0.7328295114829709,0.12037042186885626,3.4193435921165927,3.1342336672039237
1.1,0.06438626324436855,1.0975879435340334,0.7358778051623236,0.11859731413021816,3.4251378565408257,3.1358535253404427
1.1500000000000001,0.06360338830227755,1.102798492732619,0.7390324985837261,0.11695507812784443,3.4312277107527276,3.1380396775624644
1.2000000000000002,0.06286994866392559,1.1082116747724584,0.742283846296584,0.1154299499032535,3.43761158380841,3.140646340717253
1.25,0.06218162311661906,1.1138245352734832,0.7456315046289763,0.1140100012854533,3.4442878408457918,3.1436155903729146
1.3,0.061534549975627593,1.1196340712031667,0.7490623901905759,0.11268484858276516,3.4512547850645006,3.1468744458391797
1.35,0.06092527273356394,1.1256372373759396,0.7525779518704313,0.11144541407277549,3.458510659753862,3.150452662840564
1.4000000000000001,0.060350692152483,1.1318309527850305,0.7561793703952636,0.11028372967252718,3.4660536503637127,3.154393970823085
1.4500000000000002,0.05980802421040098,1.138212106746267,0.759845104979196,0.10919277448743459,3.4738818866127534,3.1585807209338017
1.5,0.0592947632782567,1.144777564836005,0.763583831303876,0.10816633971615498,3.48199344462921,3.163128401322586
