experiment,feature_set,model,sample_rows,n_groups,gap_groups,feature_count,fold_count,pearson_mean,pearson_std,rmse_mean,rmse_std,mae_mean,mae_std
feature_pipeline_cv,full,lightgbm,525886,6,1,792,4,0.0654124697254042,0.019756775143674413,1.1152896254873108,0.0748979876573894,0.7435880699524388,0.1195189781910142
feature_pipeline_cv,stable_x_plus_market,lightgbm,525886,6,1,31,4,0.022683827728042956,0.04224014339397074,1.0597153560442358,0.04377524628468925,0.6948848001862347,0.07855915435550367
feature_pipeline_cv,filtered_x_plus_market,lightgbm,525886,6,1,32,4,0.019887999505732543,0.03091473146282934,1.049192874396356,0.04687567780028384,0.6780626253294659,0.09106298660449644
feature_pipeline_cv,medoid_x_plus_market,lightgbm,525886,6,1,32,4,0.019887999505732543,0.03091473146282934,1.049192874396356,0.04687567780028384,0.6780626253294659,0.09106298660449644
feature_pipeline_cv,stable_x_plus_market,ridge,525886,6,1,31,4,0.03532413146486997,0.05592207081095446,192.7431217119419,250.9159765722873,2.9190532248050025,3.711578370310886
feature_pipeline_cv,filtered_x_plus_market,ridge,525886,6,1,32,4,0.035312584715359405,0.055928784694624735,190.2009642129442,246.8064636251243,2.88440764200322,3.646257188327205
feature_pipeline_cv,medoid_x_plus_market,ridge,525886,6,1,32,4,0.035312584715359405,0.055928784694624735,190.2009642129442,246.8064636251243,2.88440764200322,3.646257188327205
feature_pipeline_cv,full,ridge,525886,6,1,792,4,0.013901193461712952,0.030669331565552578,103.79074786140957,130.97212651935476,2.6837400107283753,1.8394574448547774
