model,sample_rows,train_rows,valid_rows,valid_fraction,gap_rows,pearson,rmse,mae,generated_at
ridge,525886,420709,105177,0.2,0,0.0919055166759048,1.2275199829504948,0.8685829944546544,2026-07-02T19:53:58
lightgbm,525886,420709,105177,0.2,0,0.0768557818197615,1.0598270903703797,0.7176715521610808,2026-07-02T20:10:39
lasso,5000,4000,1000,0.2,0,0.1584432175594569,7.892406566770671,6.312977038090452,2026-07-02T20:43:06
