model,model_label,group,definition,sample_count,sample_ratio,pearson,rmse,mae,squared_error_contribution,absolute_error_contribution
lightgbm,LightGBM,整体,all validation samples,105177,1.0,0.10235862829968688,1.0391435114885461,0.6984824662618114,1.0,1.0
lightgbm,LightGBM,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.26953557680155,3.3679585663128844,3.149083988193071,0.5252484886008325,0.22542969671524857
catboost,CatBoost baseline,整体,all validation samples,105177,1.0,0.07939894257823545,1.0394048289751463,0.6980529170152403,1.0,1.0
catboost,CatBoost baseline,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.2353380690376481,3.379480372627994,3.1561937371480577,0.528582509295076,0.226077685904598
xgboost,XGBoost baseline,整体,all validation samples,105177,1.0,0.09959816554513914,1.0378603838984557,0.6970457130475592,1.0,1.0
xgboost,XGBoost baseline,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.28026612859320243,3.3742437071283082,3.152817770702402,0.5285151186805698,0.22616218998255003
